0,0.0,2,-0.46
1,0.0,3,-0.26
2,0.0,1,-1.5
3,0.0,3,-0.99
4,0.0,2,-0.78
5,0.0,2,-0.88
6,0.0,1,-1.5
7,0.0,1,-4.0
8,0.0,2,-0.76
9,0.0,2,-1.91
10,0.0,1,-3.5
11,0.0,3,-0.37
12,0.0,2,-1.38
13,0.0,1,-5.0
14,0.0,1,-2.5
15,0.0,1,-3.0,0.42857142857142855
0,0.0,4,0.31
1,0.0,1,-1.5
2,0.0,2,-0.85
3,0.0,2,-0.15
4,0.0,2,-0.36
5,0.0,2,-1.13
6,0.0,2,-1.22
7,0.0,1,-3.0
8,0.0,2,-0.5
9,0.0,2,-1.93
10,0.0,1,-7.5
11,0.0,2,-0.14
12,0.0,1,-2.0
13,0.0,1,-8.0
14,0.0,2,-2.03
15,0.0,1,-3.0
0,0.0,1,-1.5
1,0.0,1,-1.5
2,0.0,1,-1.5
3,0.0,2,-0.49
4,0.0,3,0.52
5,0.0,2,-0.97
6,0.0,2,-0.69
7,0.0,1,-2.5
8,0.0,1,-3.5
9,0.0,2,-1.87
10,0.0,1,-4.0
11,0.0,2,-0.35
12,0.0,1,-1.5
13,0.0,1,-8.0
14,0.0,1,-1.5
15,0.0,1,-3.0
